recipe_id,ingredient_full
97,"['시금치 250g', '고추장 1큰술', '들기름 1.5스푼', '다진마늘 1/2스푼', '파 1스푼', '소금 약간', '통깨 1/2스푼']"
98,"['팽이버섯 1봉지', '버터 1/2스푼', '마늘 1스푼', '쪽파 or 대파 1주먹', '소금 1꼬집']"
99,"['달걀 6개', '멸치다시마육수 또는 물 1.5컵', '다진파 3T', '소금 1/22/3T', '참기름 2방울']"
100,"['새송이버섯 4송이', '메추리알 270g', '올리고당 2바퀴', '참기름 1스푼', '통깨 적당히', '간장 4큰술', '설탕 1.5스푼', '미림 2큰술', '다진마늘 0.5스푼', '물 1종이컵']"
101,"['감자 250g 1개', '대파 약간', '소금 1/2작은술', '물엿 4큰술', '매운 고추가루 1큰술', '굴소스 1/2큰술', '올리브유 2큰술', '다진마늘 1/2큰술', '물 1/2컵', '깨소금 약간']"
102,"['꽈리고추 20개', '감자 3개', '양파 1/2개', '육수 다시마 육수 1컵', '간장 4스푼', '다진 마늘 0.5스푼', '설탕 0.5스푼', '맛술 1스푼', '올리고 당 1스푼', '참기름 0.5스푼', '통깨 0.5스푼']"
103,"['꽈리고추 2730개', '부침가루 2T', '고춧가루 1T', '간장 2T', '매실액 1T', '올리고당 1T', '다진대파 1T', '다진마늘 1/2T', '참기름 1/2T']"
104,"['갈은 소고기 480g', '양파 2개', '고추장 9T', '다진 마늘 2T', '후추 1T', '간장 2T', '설탕 3.5T', '참기름 1T', '물엿 생략가능 1T']"
105,"['풋고추 8개', '돼지고기다짐육 140g', '당근 1.5cm', '대파 10cm', '계란 1개', '다진마늘 1T', '맛술 3T', '후추 3번', '맛소금 1/2T', '참기름 1T', '부침가루 3스푼']"
106,"['콩나물 450g', '소금 1/2티스푼', '참기름 2테이블스푼', '볶은 통깨 1테이블스푼', '간마늘 1테이블스푼', '다진파 3테이블스푼']"
107,"['둥근긴어묵 200g', '양배추 2장', '마늘 2톨', '올리브오일 2큰술', '간장 1큰술', '케찹 1.5큰술', '올리고당 1/2큰술', '검은깨 약간']"
108,"['도토리묵 500g', '양파 1/2개', '오이 1개', '상추 5장', '당근 적당량', '고춧가루 4T', '진간장 4T', '설탕 3T', '식초 3T', '다진마늘 1T', '참기름 2T']"
109,"['감자 2개', '양파 1/2개', '청양고추 1개', '간장 5스푼', '설탕 2스푼', '다진파 1.5스푼', '다진마늘 1스푼', '참기름 0.8스푼', '깨소금 1/2스푼', '후추 약간']"
110,"['브로콜리 1송이', '두부 1모', '굵은소금 약간', '소금 1/4큰술', '참기름 1큰술', '통깨 1/2큰술', '설탕 1/3큰술']"
111,"['두부 1/2모', '양파 40g 1/2개', '대파 1/4개', '달걀 1개', '다진마늘 1/2큰술', '고추가루 1큰술', '설탕 1/2큰술', '간장 1.5큰술', '물 7큰술', '참기름 약간', '후추 약간']"
112,"['감자 중간크기 2개', '스팸 1/2개', '양파 1/2개', '진간장 2스푼', '올리고당 2스푼', '물 3스푼', '식용유 ', '참기름 1스푼']"
113,"['작은 무 1개', '물 2컵', '설탕 1컵', '식초 1컵', '소금 1/2T']"
114,"['다시마 5*5CM 2장', '물 200ml', '계란 6개', '맛술 1T', '새우젓국물 1T', '설탕 2ts', '맛소금 1ts', '참기름 1T', '다진파 2T', '다진당근 1T']"
115,"['사각어묵 3장', '새송이버섯 2개', '양파 1/2개', '청양고추 1개', '홍고추 1/2개', '대파 1/2대', '다진 마늘 1T', '식용유 5T', '후춧가루 약간', '통깨 약간', '진간장 2.5T', '설탕 1t', '맛술 1T', '굴 소스 1t', '고추가루 1T', '물엿 1T', '물 50cc']"
116,"['감자 3개', '당근 1개', '양파 1/2개', '진간장 2T', '고추장 크게 1T', '고춧가루 2T', '다진마늘 1/2T', '올리고당 2T', '참기름 1/2T', '후추 톡톡', '통깨 톡톡']"
117,"['배추김치 1/4포기', '다진마늘 1숟가락', '들기름 3', '카놀라유 1', '깨소금 ']"
118,"['감자 알감자 감자 4개 14개', '물 1/2컵', '고추가루 2큰술', '간장 3큰술', '쇠고기다시다 1작은술', '식용유 1큰술', '대파 1뿌리', '다진 마늘 1큰술', '양파 1개']"
119,"['황태채 2움큼', '고추장 2T', '설탕 1/2T', '진간장 1T', '참기름 1/2T', '다진마늘 1/2T', '카놀라유 약간', '통깨 1/2T']"
120,"['알배추 작은 거 2포기', '된장 2큰술', '다진 마늘 1큰술', '다진 대파 2큰술', '참기름 1큰술', '참깨 약간', '소금 약간']"
121,"['어묵 40알', '양파 1/2개', '파 1/2뿌리', '간장 2큰술', '고추장 1숟가락', '설탕 1숟가락', '올리고당 1티스푼', '식용유 1숟가락', '깨소금 약간']"
122,"['어묵 2장', '양파 1/4개', '다진마늘 ', '다진파 ', '간장 1T', '설탕 0.5T', '고추가루 0.5T', '참기름 0.5T']"
123,"['사각어묵 3장', '양파 1/2개', '대파 1대', '청양고추 2개', '다진 마늘 1/2숟가락', '설탕 1숟가락', '간장 3숟가락', '식용유 2숟가락', '물 1/2종이컵', '참기름 1/2숟가락']"
124,"['김치 ', '설탕 ', '다시다 ', '참기름 ', '식용유 ']"
125,"['사각어묵 5장', '맛살 선택 3줄', '비엔나소시지 선택 10개', '양파 1/2개', '식용유 약간', '맛소금 1꼬집', '후추 약간', '간장 2T', '올리고당 3T']"
126,"['표고버섯 10개', '양파 1/2개', '당근 1/4개', '진간장 1스푼', '굴소스 1스푼', '다진마늘 1/2스푼', '대파 약간', '들기름 1/2스푼', '통깨 약간']"
127,"['순두부 1개', '물 1컵', '멸치가루 1T', '다진 신김치 1줌', '참기름 0.5T', '간장 0.51T', '김가루 약간', '통깨 약간', '쪽파 약간', '다진마늘 0.5T', '다진파 12T', '청양고추 1개', '간장 4T', '물 6T', '고춧가루 2T', '참기름 1T', '통깨 약간']"
128,"['계란 4개', '크래미 4개', '소금 적당량', '후추 적당량']"
129,"['진미채 1줌', '간장 1숟가락', '설탕 1숟가락', '올리고당 1숟가락', '들기름 1숟가락', '깨 약간']"
130,"['감자 큰거 2개', '당근 5cm 1/3개', '햄 5cm 1/3개', '청양고추 2개', '국간장 2큰술', '진간장 2T', '올리고당 2T', '설탕 2T', '매일액 1T', '다진마늘 1/2T', '고춧가루 1T', '후추 약간', '깨소금 약간']"
131,"['양배추 1/4통', '된장 100ml', '맛술 1숟가락', '다진마늘 1숟가락', '마요네즈 1숟가락', '참기름 1숟가락', '물엿 1숟가락', '고추가루 1숟가락', '다진파 1숟가락']"
132,"['숙주 150g', '미나리 25줄기', '까나리액젓 1.5T', '다진마늘 1T', '청·홍 고추 조금', '참기름 살짝', '깨 한 번 톡']"
